"rt","responses","trial_type","time_elapsed","sequence","stimulus","graphorder","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","linedressed_detor","detour_trial","problems","smooth","distraction","strategies","easier","similar","comments"
"485.39999999990687","","rt_plussign_withcolor","671280","","green","","","","50","GW/gong.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","672607","","black_plus_sign","","","","null","","","1","0.9821428571428571","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","672711","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","675715","","black_plus_sign","","","","null","GW/soldier.jpg","GW/snail.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","676706","","green","","","","null","GW/soldier.jpg","GW/snail.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"398.9000000001397","","rt_plussign_withcolor","677209","","green","","","","50","GW/soldier.jpg","GW/snail.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","678225","","black_plus_sign","","","","null","","","1","0.9824561403508771","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","678329","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","681333","","black_plus_sign","","","","null","GW/gong.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","682336","","blue","","","","null","GW/gong.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"422.80000000004657","","rt_plussign_withcolor","682839","","blue","","","","49","GW/gong.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","683842","","black_plus_sign","","","","null","","","1","0.9827586206896551","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","683946","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","686951","","black_plus_sign","","","","null","GW/dustpan.jpg","GW/basket.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","687695","","green","","","","null","GW/dustpan.jpg","GW/basket.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"376.19999999995343","","rt_plussign_withcolor","688199","","green","","","","50","GW/dustpan.jpg","GW/basket.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","689462","","black_plus_sign","","","","null","","","1","0.9830508474576272","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","689566","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","692570","","black_plus_sign","","","","null","GW/teeth.jpg","GW/gong.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","693425","","green","","","","null","GW/teeth.jpg","GW/gong.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"424.9000000001397","","rt_plussign_withcolor","693929","","green","","","","50","GW/teeth.jpg","GW/gong.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","695080","","black_plus_sign","","","","null","","","1","0.9833333333333333","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","695184","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","698189","","black_plus_sign","","","","null","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","698845","","blue","","","","null","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"374.80000000004657","","rt_plussign_withcolor","699348","","blue","","","","49","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","700699","","black_plus_sign","","","","null","","","1","0.9836065573770492","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","700802","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","703807","","black_plus_sign","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","704856","","blue","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"435","","rt_plussign_withcolor","705358","","blue","","","","49","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","706317","","black_plus_sign","","","","null","","","1","0.9838709677419355","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","706420","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","709425","","black_plus_sign","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","710199","","green","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"444.99999999976717","","rt_plussign_withcolor","710702","","green","","","","50","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","711935","","black_plus_sign","","","","null","","","1","0.9841269841269841","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","712039","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
