"rt","responses","trial_type","time_elapsed","stimulus","button_pressed","key_press","stimulus_left","stimulus_right","cumulative_accuracy","accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition"
"null","","black_cross(without_color)","759665","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","760169","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"1147.3000000002794","","rt_thecrossant_black","761383","black_plus_sign","","49","","","0.8275862068965517","1","","","","","","","","",""
"null","","color_black","761487","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","763492","black_plus_sign","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","764026","green","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","764529","green","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"957.5","","rt_thecrossant_black","766004","black_plus_sign","","50","","","0.8290598290598291","1","","","","","","","","",""
"null","","color_black","766108","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","768113","black_plus_sign","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","768966","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","769469","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"717.5","","rt_thecrossant_black","770624","black_plus_sign","","49","","","0.8305084745762712","1","","","","","","","","",""
"null","","color_black","770727","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","772732","black_plus_sign","","null","GW/globe.jpg","GW/mailbox.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","773319","blue","","null","GW/globe.jpg","GW/mailbox.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","773822","blue","","null","GW/globe.jpg","GW/mailbox.jpg","","","","","","","","","","",""
"952.3999999999069","","rt_thecrossant_black","775243","black_plus_sign","","49","","","0.8319327731092437","1","","","","","","","","",""
"null","","color_black","775347","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","777352","black_plus_sign","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","777837","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","778340","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","779863","black_plus_sign","","null","","","0.8319327731092437","","","","","","","","","",""
"null","","color_black","779966","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","781971","black_plus_sign","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","782613","blue","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","783117","blue","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"596.3999999999069","","rt_thecrossant_black","784482","black_plus_sign","","49","","","0.8333333333333334","1","","","","","","","","",""
"null","","color_black","784587","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","786592","black_plus_sign","","null","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","787605","blue","","null","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"462.89999999990687","","rt_plussign_withcolor","788108","blue","","49","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","789101","black_plus_sign","","null","","","0.8347107438016529","1","","","","","","","","",""
"null","","color_black","789205","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","791209","black_plus_sign","","null","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","792116","green","","null","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","792620","green","","null","GW/pawn.jpg","GW/oven.jpg","","","","","","","","","","",""
"1173.5","","rt_thecrossant_black","793720","black_plus_sign","","50","","","0.8360655737704918","1","","","","","","","","",""
"null","","color_black","793823","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","thebreak","793927","<p></p>","","null","","","","","","","","","","","","",""
"20939.100000000093","","intro_0","814868","instruct","","32","","","","","","","","","","","","",""
"2286","","directmemory_phase","821372","GW/globe.jpg","","49","","","1","1","GW/mailbox.jpg","GW/backpack.jpg","GW/oven.jpg","GW/mailbox.jpg","GW/oven.jpg","GW/backpack.jpg","1","",""
"4115.5","","directmemory_phase","827878","GW/cake.jpg","","51","","","1","1","GW/oven.jpg","GW/mailbox.jpg","GW/globe.jpg","GW/globe.jpg","GW/mailbox.jpg","GW/oven.jpg","1","",""
"2194.100000000093","","directmemory_phase","834383","GW/globe.jpg","","49","","","1","1","GW/pawn.jpg","GW/backpack.jpg","GW/rocking_chair.jpg","GW/pawn.jpg","GW/rocking_chair.jpg","GW/backpack.jpg","1","",""
"2776.600000000093","","directmemory_phase","840888","GW/couch.jpg","","51","","","1","1","GW/mailbox.jpg","GW/rocking_chair.jpg","GW/skates.jpg","GW/skates.jpg","GW/rocking_chair.jpg","GW/mailbox.jpg","1","",""
"2542.2999999998137","","directmemory_phase","847393","GW/mailbox.jpg","","49","","","1","1","GW/oven.jpg","GW/rocking_chair.jpg","GW/pawn.jpg","GW/oven.jpg","GW/pawn.jpg","GW/rocking_chair.jpg","1","",""
"2109.2999999998137","","directmemory_phase","853899","GW/rocking_chair.jpg","","50","","","1","1","GW/globe.jpg","GW/cake.jpg","GW/backpack.jpg","GW/cake.jpg","GW/globe.jpg","GW/backpack.jpg","1","",""
"2971.5","","directmemory_phase","860403","GW/oven.jpg","","51","","","0.8571428571428571","0","GW/rocking_chair.jpg","GW/mailbox.jpg","GW/cake.jpg","GW/mailbox.jpg","GW/rocking_chair.jpg","GW/cake.jpg","0.5","closer",""
"4242.199999999721","","directmemory_phase","866908","GW/oven.jpg","","51","","","0.875","1","GW/boat.jpg","GW/globe.jpg","GW/pawn.jpg","GW/pawn.jpg","GW/globe.jpg","GW/boat.jpg","1","",""
"2785.100000000093","","directmemory_phase","873413","GW/pawn.jpg","","51","","","0.8888888888888888","1","GW/boat.jpg","GW/mailbox.jpg","GW/picnic_basket.jpg","GW/picnic_basket.jpg","GW/mailbox.jpg","GW/boat.jpg","1","",""
"3567.600000000093","","directmemory_phase","879919","GW/boat.jpg","","50","","","0.9","1","GW/globe.jpg","GW/couch.jpg","GW/pawn.jpg","GW/couch.jpg","GW/globe.jpg","GW/pawn.jpg","1","",""
"1965.7999999998137","","directmemory_phase","886424","GW/fan.jpg","","50","","","0.9090909090909091","1","GW/boat.jpg","GW/couch.jpg","GW/rocking_chair.jpg","GW/couch.jpg","GW/boat.jpg","GW/rocking_chair.jpg","1","",""
"2268.5","","directmemory_phase","892929","GW/cake.jpg","","50","","","0.9166666666666666","1","GW/mailbox.jpg","GW/rocking_chair.jpg","GW/oven.jpg","GW/rocking_chair.jpg","GW/mailbox.jpg","GW/oven.jpg","1","",""
"2995.3000000002794","","directmemory_phase","899434","GW/pawn.jpg","","51","","","0.9230769230769231","1","GW/fan.jpg","GW/skates.jpg","GW/globe.jpg","GW/globe.jpg","GW/skates.jpg","GW/fan.jpg","1","",""
"4001.899999999907","","directmemory_phase","905939","GW/pawn.jpg","","51","","","0.9285714285714286","1","GW/fan.jpg","GW/cake.jpg","GW/oven.jpg","GW/oven.jpg","GW/cake.jpg","GW/fan.jpg","1","",""
"2240.3000000002794","","directmemory_phase","912444","GW/boat.jpg","","50","","","0.9333333333333333","1","GW/rocking_chair.jpg","GW/backpack.jpg","GW/pawn.jpg","GW/backpack.jpg","GW/rocking_chair.jpg","GW/pawn.jpg","1","",""
"2254.9000000003725","","directmemory_phase","918949","GW/couch.jpg","","50","","","0.9375","1","GW/backpack.jpg","GW/boat.jpg","GW/oven.jpg","GW/boat.jpg","GW/backpack.jpg","GW/oven.jpg","1","",""
"2566","","directmemory_phase","925453","GW/skates.jpg","","51","","","0.9411764705882353","1","GW/globe.jpg","GW/fan.jpg","GW/rocking_chair.jpg","GW/rocking_chair.jpg","GW/fan.jpg","GW/globe.jpg","1","",""
"1708.2000000001863","","directmemory_phase","931959","GW/picnic_basket.jpg","","50","","","0.9444444444444444","1","GW/globe.jpg","GW/pawn.jpg","GW/couch.jpg","GW/pawn.jpg","GW/globe.jpg","GW/couch.jpg","1","",""
"1578.6000000000931","","directmemory_phase","938465","GW/backpack.jpg","","49","","","0.9473684210526315","1","GW/boat.jpg","GW/globe.jpg","GW/cake.jpg","GW/boat.jpg","GW/cake.jpg","GW/globe.jpg","1","",""
"4592.699999999721","","directmemory_phase","944970","GW/picnic_basket.jpg","","49","","","0.95","1","GW/oven.jpg","GW/skates.jpg","GW/rocking_chair.jpg","GW/oven.jpg","GW/rocking_chair.jpg","GW/skates.jpg","1","",""
"5118.899999999907","","directmemory_phase","951474","GW/boat.jpg","","51","","","0.9047619047619048","0","GW/globe.jpg","GW/cake.jpg","GW/picnic_basket.jpg","GW/cake.jpg","GW/globe.jpg","GW/picnic_basket.jpg","0.5","closer",""
"3910","","directmemory_phase","957980","GW/cake.jpg","","51","","","0.9090909090909091","1","GW/picnic_basket.jpg","GW/skates.jpg","GW/boat.jpg","GW/boat.jpg","GW/skates.jpg","GW/picnic_basket.jpg","1","",""
"6124.299999999814","","directmemory_phase","964485","GW/cake.jpg","","51","","","0.8695652173913043","0","GW/skates.jpg","GW/couch.jpg","GW/oven.jpg","GW/couch.jpg","GW/skates.jpg","GW/oven.jpg","0.5","closer",""
"6387.100000000093","","directmemory_phase","970989","GW/oven.jpg","","50","","","0.875","1","GW/rocking_chair.jpg","GW/picnic_basket.jpg","GW/skates.jpg","GW/picnic_basket.jpg","GW/rocking_chair.jpg","GW/skates.jpg","1","",""
